Player,Age,Team,Pos,G,MP,PER,WS,WS/48,BPM,VORP,Salary_2526,salary_pct_cap
Tim Hardaway Jr.,33,DEN,SG,80,2127,13.5,4.4,0.1,-0.7,0.7,2296274,1.48484872
Jaime Jaquez Jr.,24,MIA,SF,75,2121,15.7,4.2,0.094,0.1,1.1,3861600,2.49704165
Duncan Robinson,31,DET,SG,77,2113,12.4,6.1,0.139,0.8,1.5,16834692,10.88588333
Jeremiah Fears,19,NOP,PG,82,2112,13.8,0.6,0.015,-2.7,-0.4,7520040,4.862713147
Donovan Clingan,21,POR,C,77,2094,20.9,8.6,0.197,3,2.6,7178400,4.641797125
Kawhi Leonard,34,LAC,SF,65,2085,27.9,9.2,0.212,8,5.3,50000000,32.33169735
Evan Mobley,24,CLE,PF,65,2074,20,6.5,0.15,3,2.6,46394100,30
Andrew Wiggins,30,MIA,SF,68,2063,15.1,4.6,0.106,1.2,1.7,28223215,18.25008891
Jake LaRavia,24,LAL,PF,82,2061,11.9,3.8,0.089,-1.2,0.4,6000000,3.879803682
Pascal Siakam,31,IND,PF,62,2057,18.6,2.6,0.062,0.7,1.4,45550512,29.45450736
Cason Wallace,22,OKC,SG,77,2046,12.1,5.2,0.122,1.2,1.7,5820240,3.763564764
Devin Vassell,25,SAS,SG,67,2044,13,4.9,0.115,0.5,1.3,27000000,17.45911657
Stephon Castle,21,SAS,PG,68,2038,17.4,5.8,0.136,1.9,2,9560520,6.182156783
Derik Queen,21,NOP,C,81,2023,15.9,2.7,0.063,-0.8,0.6,5157960,3.335312033
LaMelo Ball,24,CHO,PG,72,2017,19.7,6.2,0.147,4.7,3.4,37958760,24.5454228
Naz Reid,26,MIN,C,77,2007,15.4,4,0.097,0.9,1.5,21551724,13.93607635
Davion Mitchell,27,MIA,PG,70,2000,12.1,4.3,0.104,-0.9,0.6,11600000,7.500953785
Bruce Brown,29,DEN,SG,82,1998,10.8,2.9,0.071,-2.4,-0.2,2296274,1.48484872
Chet Holmgren,23,OKC,PF,69,1997,21.6,9.1,0.219,4.2,3.1,13731368,8.879168687
Josh Hart,30,NYK,SF,66,1994,15.7,6.1,0.147,3,2.5,19472240,12.59141141
LeBron James,41,LAL,SF,60,1989,20.8,5.4,0.131,3.5,2.8,52627153,34.03050366
Ace Bailey,19,UTA,SF,72,1988,11.6,-0.1,-0.001,-4.4,-1.2,9069840,5.864866438
Harrison Barnes,33,SAS,PF,77,1986,11.8,4.8,0.117,-0.1,1,19000000,12.28604499
Jalen Duren,22,DET,C,70,1976,26.1,11,0.266,5,3.5,6483144,4.192220994
Brandon Miller,23,CHO,SF,65,1968,16.8,4.5,0.109,1.6,1.8,11968800,7.739432385
