Player,Age,Team,Pos,G,MP,PER,WS,WS/48,BPM,VORP,Salary_2526,salary_pct_cap
Taylor Hendricks,22,2TM,PF,59,1118,12.2,1.1,0.049,-2.4,-0.1,6127080,3.961977924
John Konchar,29,2TM,SG,56,1115,13.6,2.4,0.104,0.9,0.8,6165000,3.986498283
Ousmane Dieng,22,2TM,C,57,1099,10.2,0.3,0.012,-3.8,-0.5,6670882,4.313618758
Jalen Smith,25,CHI,C,53,1095,16.6,2.6,0.114,-0.7,0.4,9000000,5.819705523
Kentavious Caldwell-Pope,32,MEM,SG,51,1088,11,0.7,0.032,-2.5,-0.1,21621500,13.98119588
Hugo GonzÃ¡lez,19,BOS,SF,74,1084,10.2,2.2,0.099,-1.5,0.1,2783880,1.800151312
Jusuf NurkiÄ,31,UTA,C,41,1083,16.4,1.5,0.068,1.1,0.9,19375000,12.52853272
Miles McBride,25,NYK,SG,41,1080,13.1,2.7,0.119,1.2,0.9,4333333,2.802080221
Corey Kispert,26,2TM,SF,58,1080,13.1,1.8,0.082,-1.9,0,13975000,9.036709409
Rayan Rupert,21,2TM,SG,64,1072,8.2,0.6,0.026,-5.1,-0.8,2353647,1.521948049
Gradey Dick,22,TOR,SG,76,1067,10.7,1.4,0.064,-3.6,-0.4,4990560,3.22706551
Giannis Antetokounmpo,31,MIL,PF,36,1039,32.6,5,0.231,9.5,3,54126450,35
Tyler Herro,26,MIA,SG,33,1033,17.1,2.4,0.112,2,1.1,31000000,20.04565236
Alex Caruso,31,OKC,SG,56,1020,12.8,2.5,0.12,1.9,1,18102000,11.70536771
Franz Wagner,24,ORL,SF,34,1019,19.2,2.8,0.134,2.5,1.2,38661750,25
Robert Williams,28,POR,C,59,1008,22.1,4.5,0.213,4.5,1.7,13285713,8.590993036
Guerschon Yabusele,30,2TM,C,67,1007,11.1,1.4,0.067,-2.2,-0.1,5500000,3.556486708
Aaron Gordon,30,DEN,PF,36,1005,18.5,3.2,0.153,1.7,0.9,22841455,14.7700602
Nae'Qwan Tomlin,25,CLE,PF,64,1004,12.9,2.2,0.107,-2.1,0,718150,0.464380169
Mike Conley,38,MIN,PG,54,991,9.4,1.9,0.092,-1.3,0.2,11499872,7.436207621
Mike Conley,38,MIN,PG,54,991,9.4,1.9,0.092,-1.3,0.2,11499872,7.436207621
Olivier-Maxence Prosper,23,MEM,PF,53,984,16.9,2.4,0.119,-0.1,0.5,1002360,0.648160003
Justin Edwards,22,PHI,SF,64,977,12.1,1.7,0.086,-1.3,0.2,2048494,1.324625761
Ochai Agbaji,25,2TM,SG,62,973,8.9,0.9,0.046,-4,-0.5,6383525,4.127803966
Goga Bitadze,26,ORL,C,64,972,20.1,4.4,0.218,2.8,1.2,8333333,5.388616009
Rob Dillingham,21,2TM,PG,65,970,7.7,-1.1,-0.056,-7.3,-1.3,6576120,4.252342431
Al Horford,39,GSW,C,45,969,14.7,2.1,0.105,1.6,0.9,5685000,3.676113989
T.J. McConnell,33,IND,PG,56,963,20.5,2.6,0.132,2.5,1.1,10200000,6.595666259
Kobe Brown,26,2TM,PF,61,963,12,1.3,0.066,-2.7,-0.2,2654880,1.716735533
Anthony Gill,33,WAS,PF,55,951,13.4,1.7,0.087,-2.6,-0.2,2296274,1.48484872
Kasparas JakuÄionis,19,MIA,PG,53,945,11.9,2.3,0.114,-0.4,0.4,3658800,2.365904285
Jalen Williams,24,OKC,SG,33,936,19,3,0.156,2.1,1,6580997,4.255496065
Jordan Poole,26,NOP,PG,39,933,11.5,0.2,0.01,-3.5,-0.4,31848215,20.59413697
Clint Capela,31,HOU,C,75,926,17.9,3,0.156,0.4,0.6,6700000,4.332447445
Ben Saraf,19,BRK,SG,44,916,7.8,-1.1,-0.057,-7.3,-1.2,2884560,1.865254418
Micah Peavy,24,NOP,SG,61,913,8.3,0.4,0.02,-5.2,-0.7,1272870,0.823080952
Karlo MatkoviÄ,24,NOP,PF,62,912,16.5,2.7,0.141,0.7,0.6,1955377,1.264413147
Josh Green,25,CHO,SG,58,908,9.7,1.9,0.099,-0.7,0.3,13666667,8.837330824
Micah Potter,27,IND,C,47,908,17,2.6,0.135,0.7,0.6,1527805,0.987930577
Isaiah Jackson,24,2TM,C,55,908,17.3,2.6,0.139,-1.2,0.2,7600000,4.914417997
Dwight Powell,34,DAL,C,63,904,12.6,2.6,0.138,-1.4,0.1,4000000,2.586535788
Paul Reed,26,DET,C,65,901,24.2,4.5,0.239,5.3,1.6,5335894,3.450370198
Jaden Hardy,23,2TM,SG,57,898,10.9,-0.2,-0.01,-4.8,-0.6,6000000,3.879803682
Jaylen Clark,24,MIN,SG,68,888,10.3,1.7,0.09,-2.4,-0.1,2191897,1.417355009
Cam Thomas,24,2TM,SG,42,881,12.6,-0.4,-0.024,-5.2,-0.7,6837779,4.421540023
Cam Thomas,24,2TM,SG,42,881,12.6,-0.4,-0.024,-5.2,-0.7,6837779,4.421540023
Bryce McGowens,23,NOP,SG,42,880,11.7,1.7,0.095,-2.8,-0.2,724598,0.468549665
Gabe Vincent,29,2TM,PG,53,879,6.5,0.6,0.035,-4.3,-0.5,11500000,7.43629039
Jonas ValanÄiÅ«nas,33,DEN,C,65,871,22,2.9,0.162,0,0.4,10395000,6.721759879
Jevon Carter,30,2TM,PG,53,867,10.7,0.9,0.052,-1.1,0.2,7680524,4.966487549
Jevon Carter,30,2TM,PG,53,867,10.7,0.9,0.052,-1.1,0.2,7680524,4.966487549
Trendon Watford,25,PHI,PF,53,864,13.1,1.4,0.078,-1.9,0,2461463,1.591665535
Julian Strawther,23,DEN,SG,57,861,12.5,1.3,0.071,-2.3,-0.1,2674200,1.729228501
Jalen Wilson,25,BRK,PF,54,859,8.7,0.2,0.012,-5.6,-0.8,2221677,1.436611767
Caleb Martin,30,DAL,SF,58,856,9.3,0.9,0.048,-2.2,0,9594044,6.203834539
Kenrich Williams,31,OKC,PF,56,855,14.2,2.3,0.13,0.2,0.5,7163000,4.631838962
Josh Minott,23,2TM,PF,49,834,16,2.4,0.139,2.5,1,2378870,1.538258097
Jonathan Kuminga,23,2TM,PF,36,830,14.2,1,0.059,-2,0,23799569,15.38960924
Jalen Green,23,PHO,SG,32,828,14.8,0.3,0.019,-1.1,0.2,33584499,21.71687715
Vince Williams Jr.,25,2TM,SG,40,820,10.7,0.1,0.008,-1,0.2,2301587,1.488284286
Buddy Hield,33,2TM,SG,51,819,12.8,1,0.06,-1,0.2,9219512,5.961649434
Carter Bryant,20,SAS,PF,71,818,9.9,1.3,0.076,-3,-0.2,4900320,3.168713263
Nikola JoviÄ,22,MIA,PF,47,808,9.5,0,0.001,-3.5,-0.3,4445417,2.874557541
Jalen Pickett,26,DEN,SG,50,807,10.3,1,0.059,-2.3,-0.1,2221677,1.436611767
Keegan Murray,25,SAC,PF,23,793,11.7,0.2,0.011,-3.1,-0.2,11144093,7.206148842
Aaron Holiday,29,HOU,PG,57,781,10.1,1.4,0.088,-2.4,-0.1,2296274,1.48484872
Tyrese Martin,26,2TM,SG,46,777,10.3,0.1,0.006,-3.4,-0.3,2191897,1.417355009
Kristaps PorziÅÄ£is,30,2TM,C,32,769,19.6,2.4,0.148,1.9,0.8,30731707,19.872165
Jabari Walker,23,PHI,PF,64,762,12.5,1.7,0.106,-2.7,-0.1,724598,0.468549665
Noah Penda,21,ORL,SF,59,757,11.3,1.1,0.07,-1.5,0.1,1272870,0.823080952
Scoot Henderson,21,POR,PG,30,748,12.9,1,0.064,-2.2,0,10748040,6.950047528
Thomas Bryant,28,CLE,C,60,732,17.2,2.3,0.153,0.1,0.4,2296274,1.48484872
Steven Adams,32,HOU,C,32,730,15.8,2.1,0.141,-0.5,0.3,14130434,9.13721831
Lonzo Ball,28,CLE,PG,35,728,9.5,0.6,0.042,-1.1,0.2,10000000,6.46633947
Tyler Kolek,24,NYK,PG,62,727,12.5,1.4,0.093,-0.6,0.3,2191897,1.417355009
Leonard Miller,22,2TM,SF,46,719,15.9,1.6,0.105,-1.3,0.1,2221677,1.436611767
Grant Williams,27,CHO,PF,36,711,12.9,1.9,0.131,1.6,0.7,13645500,8.823643524
Nick Richards,28,2TM,C,48,701,11.9,0.6,0.04,-6.1,-0.7,5000000,3.233169735
Devin Carter,23,SAC,PG,38,700,13.8,0.2,0.012,-2.6,-0.1,4923720,3.183844497
Jett Howard,22,ORL,SF,55,695,11.2,1.3,0.087,-1.8,0,5529720,3.575704669
Jordan Hawkins,23,NOP,SG,51,692,7.6,-0.4,-0.029,-6.2,-0.7,4741320,3.065898466
Rasheer Fleming,21,PHO,PF,55,673,10.2,0.8,0.055,-3.8,-0.3,1272870,0.823080952
Jaden Ivey,23,2TM,SG,37,670,13,1.3,0.096,0,0.3,10107163,6.535634704
Tre Mann,24,CHO,PG,53,669,8.3,0,-0.003,-5.3,-0.5,8000000,5.173071576
Gary Harris,31,MIL,SG,48,661,8,0.7,0.054,-2.5,-0.1,3634153,2.349966698
Johnny Furphy,21,IND,SG,35,643,9.2,0.5,0.036,-3.7,-0.3,1955377,1.264413147
Mohamed Diawara,20,NYK,SF,69,634,10.3,0.9,0.072,-1.7,0,1272870,0.823080952
Zeke Nnaji,25,DEN,PF,52,626,10.3,0.9,0.066,-3.5,-0.3,8177778,5.288028866
Anthony Davis,32,DAL,PF,20,626,21.5,1.3,0.103,2.4,0.7,54126450,35
Dorian Finney-Smith,32,HOU,PF,37,620,5.8,0.5,0.042,-4.3,-0.4,12700000,8.212251127
Kam Jones,23,IND,SG,37,616,8.2,0,0.002,-6.2,-0.6,1272870,0.823080952
Kevin Love,37,UTA,PF,37,613,14.7,1.1,0.088,0.2,0.3,4150000,2.68353088
Taurean Prince,31,MIL,SF,26,611,10.5,0.5,0.039,-3.1,-0.2,3303774,2.136332422
Jase Richardson,20,ORL,SG,54,587,11.5,1,0.082,-2.5,-0.1,2983320,1.929115987
Tidjane SalaÃ¼n,20,CHO,PF,37,575,12.9,1.4,0.117,-0.8,0.2,7863240,5.084637917
Ja Morant,26,MEM,PG,20,569,16.6,0.3,0.024,-1.5,0.1,39446090,25.50718087
Domantas Sabonis,29,SAC,C,19,564,19.2,1.1,0.095,0.6,0.4,42336000,27.37589478
Dalton Knecht,24,LAL,SF,54,553,10.1,0.4,0.038,-3.6,-0.2,4010160,2.593105589
Drew Eubanks,28,SAC,C,42,552,13.6,0.6,0.053,-3.7,-0.2,2296274,1.48484872
Dalen Terry,23,2TM,SG,48,551,11.6,0.7,0.063,-1.7,0,5399118,3.491252983
Tyrese Proctor,21,CLE,PG,50,545,12.2,0.7,0.066,-2.8,-0.1,1272870,0.823080952
Terrence Shannon Jr.,25,MIN,SG,43,538,11.1,1,0.09,-3.6,-0.2,2674080,1.729150905
Keaton Wallace,26,ATL,PG,53,536,10.4,0.7,0.066,-2.7,-0.1,2296274,1.48484872
Cole Anthony,25,MIL,PG,35,527,10.7,-0.5,-0.042,-4.7,-0.4,5996274,3.877394324
Cole Anthony,25,MIL,PG,35,527,10.7,-0.5,-0.042,-4.7,-0.4,5996274,3.877394324
Jayson Tatum,27,BOS,PF,16,522,20.3,1.6,0.148,4.8,0.9,54126450,35
Jonathan Isaac,28,ORL,PF,52,521,11.5,0.9,0.085,-1.6,0.1,15000000,9.699509205
Jamison Battle,24,TOR,SF,61,517,10.6,0.9,0.086,-2.6,-0.1,1955377,1.264413147
Asa Newell,20,ATL,PF,44,500,14.2,1.2,0.113,-1.5,0.1,3237480,2.093464471
